TITULO,FECHA
Director regional de Salud Puno en la cuerda floja,"6 Septiembre, 2023"
Director de Redes de Salud asisten a Consejo Regional,"5 Septiembre, 2023"
Gestión del gobierno regional  Puno sigue estancada,"4 Septiembre, 2023"
Mejora tu descanso con la última tecnología en colchones y almohadas,"29 Agosto, 2023"
Manifestaciones? sepa qué hacer si se cancela o posterga el servicio que contrató,"20 Julio, 2023"
Las mejores ideas de regalos para agasajar en el día del padre,"12 Junio, 2023"
Soto pagó por comentarios  a su favor durante programa en medio de comunicación,"28 Agosto, 2023"
"Más trabajadores “fantasmas” en obra Mejoramiento de carretera Rosaspata-Huayrapata, obra que ejecuta GRP","25 Agosto, 2023"
"Combustible GLP se agotará pronto, el país se convertiría en importador advirtió el Minem","24 Agosto, 2023"
Contraloría advierte: “Demanda de inconstitucionalidad contra la Ley 31288 representa amenaza a la lucha contra la corrupción”,"23 Agosto, 2023"
"Recorte de canon paralizaría obras, presupuesto se ve limitado en varias provincias de la región Puno","22 Agosto, 2023"
Declaran de interés nacional la promoción del Siku según Resolución Ministerial 193-2023,"21 Agosto, 2023"
Policía integra banda criminal,"5 Septiembre, 2023"
Archivan casos de muertes durante protestas mandos policiales se protegen y afectan investigación,"16 Agosto, 2023"
"Martha Moyano: “Muertes en protestas fueron por actos terroristas” Sin embargo presenta informe donde PNP y FFAA, aparecen como responsables","3 Agosto, 2023"
PNP ejerce represión racista contra andinos   mujer aimara fue agredida durante  manifestación en Lima,"22 Julio, 2023"
Gobernador de Cuzco pide respetar las protestas: “No toleraré una gota más de sangre”,"17 Julio, 2023"
Los máximos goleadores de Perú en el 2023,"5 Junio, 2023"
El legado de los superdeportivos: apostando por la velocidad y el lujo sobre ruedas,"5 Junio, 2023"
Adrián Fernández resuelve para Alianza Atlético el partido contra Sport Boys,"9 Abril, 2023"
Pago a pensionistas jubilados de la 19990 iniciará este viernes 7 de octubre,"5 Octubre, 2022"
"Puno: Desinterés por casos de violencia a la mujer, entidades competentes suspenden importante reunión para tratar problemática","25 Mayo, 2022"
"Juliaca: Anuncian protestas en la salida a Lampa, señalan que autoridades de Juliaca y Provías no escuchan los pedidos de pobladores","25 Mayo, 2022"
Padre Josef Schmidpeter es reconocido como “Arequipeño del Bicentenario”,"11 Noviembre, 2021"
"Proceso de Independencia del Yugo Español, 200 años de historia y el grito de libertad","31 Julio, 2021"
Celebración del bicentenario del Perú con una sensación de impunidad e injusticia,"29 Julio, 2021"
Los protomártires de la independencia del Perú a 200 años de la independencia,"29 Julio, 2021"
"Tras 200 años en la república del Perú, la mujer aún no posee muchos derechos","29 Julio, 2021"
Política de Aduviri es desconcertante,"25 Febrero, 2019"
Sociedad Conima “Jayajata Kunimaru”,"23 Febrero, 2021"
Policial ebrio ocasionó accidente de tránsito,"18 Marzo, 2019"
Educación entrega 400 tablets a estudiantes,"13 Noviembre, 2020"
Opiniones divididas por tema electoral,"27 Septiembre, 2019"
Culturalista confía  en la izquierda,"8 Octubre, 2020"
Comas: El zorro Run Run es capturado y trasladado al parque de Las Leyendas,"9 Noviembre, 2021"
Todos los Santos: costumbre ancestral se resiste a ser desplazada por otras culturas,"1 Noviembre, 2021"
Arequipa: Rito satánico en exmuseo de arte contemporáneo se hace viral en redes,"22 Octubre, 2021"
Juliaca: Hallazgo de colas de perro genera especulaciones sobre el uso de su carne,"5 Octubre, 2021"
,"18 Octubre, 2021"
,"10 Septiembre, 2019"
Director de Redes de Salud asisten a Consejo Regional,"5 Septiembre, 2023"
Transportistas anuncian nuevo paro indefinido frente a demandas no atendidas por el gobierno de Dina Boluarte,"1 Septiembre, 2023"
Policía integra banda criminal,"5 Septiembre, 2023"
Sigma ejecuta obra de saneamiento completamente deficiente,"5 Septiembre, 2023"
"Archivan caso de puneños en Lima, usurpación agravada no se adecúa a lo ocurrido en San Marcos","1 Septiembre, 2023"
Gestión del gobierno regional  Puno sigue estancada,"4 Septiembre, 2023"
Expremier Chávez seguirá en prisión,"6 Septiembre, 2023"
Director regional de Salud Puno en la cuerda floja,"6 Septiembre, 2023"
Nuevo consejero definirá a presidente de Consejo,"10 Enero, 2020"
Arequipa: Dictan 15 años de cárcel para coautor de tráfico de drogas a Puno,"1 Julio, 2021"
Expremier Chávez seguirá en prisión,"6 Septiembre, 2023"
Director regional de Salud Puno en la cuerda floja,"6 Septiembre, 2023"
Director de Redes de Salud asisten a Consejo Regional,"5 Septiembre, 2023"
Expremier Chávez seguirá en prisión,"6 Septiembre, 2023"
Director regional de Salud Puno en la cuerda floja,"6 Septiembre, 2023"
